fips,stateabb,sedaadmin,sedaadminname,subject,subgroup,gys_mn_2016_ol,gys_mn_2016_ol_se_unadj,gys_mn_2016_ol_se_adj,gys_mn_2016_eb_se_adj,gys_mn_2016_eb,gys_mn_2017_ol,gys_mn_2017_ol_se_unadj,gys_mn_2017_ol_se_adj,gys_mn_2017_eb_se_adj,gys_mn_2017_eb,gys_mn_2018_ol,gys_mn_2018_ol_se_unadj,gys_mn_2018_ol_se_adj,gys_mn_2018_eb_se_adj,gys_mn_2018_eb,gys_mn_2019_ol,gys_mn_2019_ol_se_unadj,gys_mn_2019_ol_se_adj,gys_mn_2019_eb_se_adj,gys_mn_2019_eb,gys_mn_2022_ol,gys_mn_2022_ol_se_unadj,gys_mn_2022_ol_se_adj,gys_mn_2022_eb,gys_mn_2022_eb_se_adj,gys_mn_2023_ol,gys_mn_2023_ol_se_unadj,gys_mn_2023_ol_se_adj,gys_mn_2023_eb,gys_mn_2023_eb_se_adj,gys_mn_1922_ol,gys_mn_1922_ol_se_unadj,gys_mn_1922_ol_se_adj,gys_mn_1922_eb,gys_mn_1922_eb_se_adj,gys_mn_1923_ol,gys_mn_1923_ol_se_unadj,gys_mn_1923_ol_se_adj,gys_mn_1923_eb,gys_mn_1923_eb_se_adj,gys_mn_2223_ol,gys_mn_2223_ol_se_unadj,gys_mn_2223_ol_se_adj,gys_mn_2223_eb,gys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_enroll,flag_estasmt2022,flag_estasmt2023
6,CA,600001,Acton-Agua Dulce Unified,mth,all,,,,,,-0.17767826,0.091482751,0.12382144,0.089339875,-0.19108254,,,,,,-0.43147817,0.16860591,0.18344884,0.14941595,-0.58568203,-1.8937286,0.18834232,0.21780737,-1.8979658,0.16684352,-2.4065039,0.1889329,0.21835391,-2.0830109,0.17859077,-1.4622505,0.25278604,0.28476924,-1.3122838,0.22396849,-1.9750258,0.25322637,0.28518748,-1.497329,0.23285143,-0.51277536,0.26677418,0.26680335,-0.18504514,0.094968185,,174.16667,,78.400002,64.5,70,,1045,,392,387,420,,6,,5,6,6,1,0,0
6,CA,600006,Ross Valley Elementary,mth,all,1.8767613,0.096629798,0.11585499,0.090478398,1.9264283,2.0459907,0.096536003,0.12760037,0.083824493,2.0200956,1.9894661,0.11231296,0.1251449,0.0907389,1.9555889,1.7805347,0.11438558,0.1353129,0.10148475,1.8068241,1.7346433,0.10139854,0.14916061,1.6737548,0.13426577,1.6020094,0.10427585,0.15118283,1.669829,0.13878074,-0.0458914,0.15285851,0.20139132,-0.13306932,0.16830462,-0.17852533,0.15478216,0.20289364,-0.13699508,0.17192803,-0.13263394,0.14544798,0.14550151,-0.0039257458,0.082815386,253.2,249,231.60001,227.2,194.66667,189.5,1266,1245,1158,1136,1168,1137,5,5,5,5,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,mth,ecd,-0.72492498,0.34390733,0.34979609,0.18628235,-0.56387246,-0.48658589,0.53230983,0.53881019,0.19208485,-0.37179336,-0.011533088,0.83654034,0.83835959,0.20468928,-0.33728892,-0.44660553,0.3663857,0.37344879,0.2073081,-0.38817188,-0.75702757,0.31931815,0.33753711,-0.66938859,0.21635489,-0.61531246,0.32027516,0.3384656,-0.57576644,0.22757329,-0.31042206,0.48600677,0.50338387,-0.28121671,0.29964328,-0.16870694,0.48663607,0.50400692,-0.18759455,0.30784127,0.14171512,0.45226127,0.45227849,0.093622148,0.19383879,26.5,20.5,21.666666,26.5,22,21.833334,106,41,65,106,132,131,4,2,3,4,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,mth,nec,2.1807086,0.1410244,0.15483198,0.092592165,2.2272739,2.3418641,0.098442852,0.12904902,0.08638566,2.3090527,2.223237,0.11326224,0.12599753,0.093406953,2.2325878,2.040725,0.11665861,0.13723975,0.10380782,2.0719962,2.025738,0.10364004,0.15069334,1.9568241,0.13582103,1.8610526,0.10566311,0.15214297,1.9411138,0.14048077,-0.014987065,0.15604644,0.20382157,-0.11517213,0.17094858,-0.17967239,0.15739733,0.20489568,-0.1308824,0.17467372,-0.16468532,0.14800659,0.14805917,-0.015710263,0.085478991,228.25,226,205.60001,201,172.66667,167.66667,913,1130,1028,1005,1036,1006,4,5,5,5,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,mth,wht,2.5451519,0.15878631,0.17116703,0.096373916,2.3224185,2.2330256,0.10802064,0.13649584,0.08838407,2.3832872,2.2199707,0.17831589,0.18666442,0.09496332,2.2859824,2.0153167,0.12411276,0.14362971,0.10544105,2.1044195,2.0101054,0.10722712,0.15318249,1.9548106,0.13886246,1.9033624,0.11505341,0.15880832,1.9330157,0.14463976,-0.0052113701,0.16401717,0.20998661,-0.14960892,0.17435767,-0.11195434,0.1692373,0.21412514,-0.17140377,0.17899294,-0.10674297,0.15727346,0.15732296,-0.021794837,0.083203115,206.25,199.39999,183.25,181.60001,146.16667,138,825,997,733,908,877,828,4,5,4,5,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,rla,all,2.6288729,0.11982206,0.13903648,0.10814144,2.7056897,2.7118733,0.10364329,0.13683692,0.088753968,2.6969373,2.5507627,0.11989982,0.13372502,0.09391652,2.5282433,2.2209356,0.10970089,0.13445269,0.096720554,2.2639256,2.4876819,0.12682873,0.17235266,2.3254645,0.14866199,2.2323699,0.11682989,0.16518311,2.2192576,0.1517753,0.26674625,0.16768962,0.21859315,0.061539043,0.17735627,0.011434385,0.16026075,0.21298589,-0.044668082,0.17997392,-0.25531188,0.17243767,0.17248499,-0.10620712,0.092751935,253.39999,249.2,231.60001,231,197.33333,191,1267,1246,1158,1386,1184,1146,5,5,5,6,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,rla,ecd,-0.1223532,0.35109296,0.35810626,0.21349715,-0.038072914,-0.22530009,0.57141125,0.57835388,0.19918862,0.033288751,0.40447602,0.97056484,0.97236955,0.20644097,-0.053960882,-0.35415068,0.47686714,0.48316199,0.21408938,-0.23842722,-0.1348445,0.34486476,0.36407641,-0.30121884,0.23804432,-0.64965492,0.34877494,0.36780456,-0.47637096,0.24931023,0.2193062,0.58850145,0.60497695,-0.062791608,0.3201552,-0.29550424,0.59080136,0.60722786,-0.23794372,0.32861811,-0.51481044,0.49048513,0.49050176,-0.17515212,0.21959071,26.75,20.5,21.5,29.5,22.833334,22,107,41,43,59,137,132,4,2,2,2,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,rla,nec,2.95769,0.17275439,0.18659554,0.11044011,3.0397916,3.0629141,0.10382202,0.13697234,0.091371551,3.0212831,2.8072796,0.12315917,0.13665502,0.096547619,2.842674,2.5287011,0.1127084,0.13691758,0.099477433,2.5686312,2.8011172,0.13362193,0.1774112,2.6453102,0.15037583,2.5768199,0.11696071,0.16527566,2.5474985,0.15367429,0.27241614,0.17480849,0.22410078,0.076678962,0.18030155,0.04811864,0.16242842,0.21462169,-0.021132875,0.1830616,-0.22429749,0.17757992,0.17762588,-0.09781184,0.09586627,228.25,226.2,206,203.66667,174.5,169,913,1131,1030,1222,1047,1014,4,5,5,6,6,6,0,0,0
6,CA,600006,Ross Valley Elementary,rla,wht,3.0899222,0.19083452,0.20344932,0.11893149,3.0468214,2.8872395,0.11179173,0.14310765,0.093640618,3.028374,3.0338299,0.18409443,0.19338347,0.10161284,2.8499854,2.4582193,0.13244012,0.15356961,0.10055133,2.5759723,2.7864895,0.13589124,0.17912662,2.6565831,0.15374927,2.6331334,0.12649401,0.17215392,2.5463548,0.15921585,0.32827017,0.18975462,0.23594484,0.080610707,0.18371011,0.17491417,0.18314235,0.2306959,-0.029617453,0.18830894,-0.15335602,0.18565334,0.18569732,-0.11022817,0.093390971,206.25,199.60001,183.25,182,147.83333,139.16667,825,998,733,910,887,835,4,5,4,5,6,6,0,0,0
6,CA,600013,Rocklin Unified,mth,all,1.4103446,0.046995465,0.079332434,0.046116065,1.4256196,1.4272205,0.045604341,0.095091596,0.043639172,1.4334093,1.4162959,0.045487244,0.071527153,0.043114666,1.4160961,1.4189577,0.046371091,0.08588247,0.045110237,1.4110869,1.3933551,0.050825313,0.12062518,1.3914944,0.11791112,1.4855224,0.051326469,0.12090161,1.4851974,0.11886271,-0.025602542,0.068800367,0.1480751,-0.019592434,0.12624566,0.066564672,0.069171414,0.14830036,0.074110582,0.12713487,0.092167214,0.072233081,0.072340786,0.093703017,0.058986589,859.66669,875.5,890.66669,891,797.33331,806.83331,5158,5253,5344,5346,4784,4841,6,6,6,6,6,6,1,0,0
6,CA,600013,Rocklin Unified,mth,ecd,-0.28508896,0.10251866,0.12081033,0.079163924,-0.26052749,-0.19432138,0.098555818,0.12913522,0.074258544,-0.15988885,-0.018817229,0.090241224,0.10578527,0.070737839,-0.08343143,-0.017685428,0.09566588,0.11990613,0.075407021,0.0037902254,-0.097615264,0.12459888,0.16580743,-0.11700297,0.13819082,-0.12119596,0.11430779,0.15826897,-0.10261852,0.13781373,-0.079929836,0.15708864,0.20462058,-0.12079319,0.15742593,-0.10351054,0.14905782,0.19856119,-0.10640875,0.15709502,-0.023580704,0.16908918,0.16913523,0.01438445,0.11051808,169.16667,155.33333,185.16667,191,147.33333,166.5,1015,932,1111,1146,884,999,6,6,6,6,6,6,1,0,0
6,CA,600013,Rocklin Unified,mth,hsp,0.23694587,0.11334282,0.13012169,0.11327443,0.24811967,0.31734174,0.10848262,0.13686174,0.074904971,0.31682789,0.33400911,0.10945914,0.12259015,0.07469584,0.36042455,0.43191138,0.10868842,0.13053235,0.079749539,0.41634133,0.39990851,0.11328061,0.15747927,0.44342709,0.13591999,0.61064404,0.11764324,0.16069451,0.54487282,0.14304893,-0.032002877,0.1569894,0.20454441,0.02708577,0.15758881,0.17873265,0.16016586,0.20703,0.12853149,0.16377725,0.21073553,0.16331695,0.16336462,0.10144571,0.061950229,119.16666,122.33334,130.83333,133.16667,148.66667,155.83333,715,734,785,799,892,935,6,6,6,6,6,6,1,0,0
