sedafips,fips,stateabb,NAME,subject,subgroup,gys_mn_2016_ol,gys_mn_2016_ol_se_adj,gys_mn_2016_eb,gys_mn_2016_eb_se_adj,gys_mn_2017_ol,gys_mn_2017_ol_se_adj,gys_mn_2017_eb_se_adj,gys_mn_2017_eb,gys_mn_2018_ol,gys_mn_2018_ol_se_adj,gys_mn_2018_eb,gys_mn_2018_eb_se_adj,gys_mn_2019_ol,gys_mn_2019_ol_se_adj,gys_mn_2019_eb_se_adj,gys_mn_2019_eb,gys_mn_2022_ol,gys_mn_2022_ol_se_adj,gys_mn_2022_eb,gys_mn_2022_eb_se_adj,gys_mn_2023_ol,gys_mn_2023_ol_se_adj,gys_mn_2023_eb,gys_mn_2023_eb_se_adj,gys_mn_1922_ol,gys_mn_1922_ol_se_adj,gys_mn_1922_eb,gys_mn_1922_eb_se_adj,gys_mn_1923_ol,gys_mn_1923_ol_se_adj,gys_mn_1923_eb,gys_mn_1923_eb_se_adj,gys_mn_2223_ol,gys_mn_2223_ol_se_adj,gys_mn_2223_eb,gys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
1,1,AL,Alabama,mth,all,-0.9682924224,0.05212615892,-0.9796306565,0.04368351003,-0.9060970399,0.0761195442,0.06031358456,-0.933827048,-0.9853656118,0.05533532341,-0.965194672,0.04404558155,-1.064634184,0.08033559024,0.06420533103,-0.996562296,-1.154726711,0.0894065972,-1.213719288,0.0828342081,-0.8866925019,0.08987552994,-0.9463107213,0.08333302415,-0.09009252788,0.120197116,-0.2171569924,0.1048037717,0.1779416817,0.1205463311,0.05025157478,0.1051984669,0.2680342096,0.009169038041,0.2674085671,0.009138527249,55453.66667,55793.83333,56407.33333,56542.16667,55714,56124,332722,334763,338444,339253,334284,336744,6,6,6,6,6,6,1,1
1,1,AL,Alabama,rla,all,-0.2623534259,0.061140827,-0.2716533887,0.04849640183,-0.3305890252,0.08331488632,0.06091597385,-0.357244591,-0.5270595775,0.06067041831,-0.5048457859,0.04425052543,-0.7235301298,0.08821693913,0.06420031256,-0.6524469808,-0.6781049303,0.1006552386,-0.7401655135,0.08912805825,,,,,0.04542519954,0.1338420913,-0.08771853265,0.1098430285,,,,,,,,,55306.33333,55680.16667,56339,56404.83333,55713.83333,,331838,334081,338034,338429,334283,,6,6,6,6,6,,1,
2,2,AK,Alaska,mth,all,-0.4475604732,0.04908813114,-0.4431138107,0.0419982756,-0.6817064983,0.06314777366,0.05282090487,-0.632864371,-0.6664625959,0.04348625632,-0.6726411719,0.03702812669,-0.6512186934,0.05980448677,0.05190646079,-0.7124179727,-1.208264642,0.09129999126,-1.219501599,0.08409106045,,,,,-0.5570459484,0.1091433234,-0.507083626,0.09882098522,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2,2,AK,Alaska,rla,all,-0.6223542157,0.05601346985,-0.6221315656,0.04513081892,-0.8341188319,0.07561274809,0.05623954817,-0.8142915076,-0.9958832685,0.05376290516,-0.982482027,0.0406305351,-1.157647705,0.0764494095,0.05865556028,-1.150672546,-1.168964442,0.1024770549,-1.229579728,0.08999843467,,,,,-0.01131673716,0.1278517071,-0.07890718169,0.1074252903,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4,4,AZ,Arizona,mth,all,-0.1518284867,0.05491540181,-0.1387519714,0.04555128166,-0.2682919386,0.07684998084,0.06050932066,-0.2149201957,-0.2121946754,0.05059267339,-0.1960213961,0.04127230031,-0.1560974121,0.06582214558,0.05614475225,-0.1771225965,-0.8246934661,0.1032903098,-0.8156663829,0.09329482187,,,,,-0.668596054,0.1224803778,-0.6385437864,0.1088859816,,,,,,,,,87085,88142,,88292,83783.16667,,435425,440710,,441460,502699,,5,5,,5,6,,0,
4,4,AZ,Arizona,rla,all,-0.1717648674,0.06587505145,-0.1774559095,0.05039318744,-0.1588238884,0.09678578106,0.06554107599,-0.1755761801,-0.219412411,0.06523301181,-0.2059489121,0.04626025258,-0.2800009335,0.08748654699,0.06530245963,-0.236321644,-0.3145496532,0.1075621367,-0.3778177854,0.09384965704,,,,,-0.03454871969,0.13864887,-0.1414961413,0.1143335881,,,,,,,,,86230.5,87590.5,,87997,82905.66667,,517383,525543,,527982,497434,,6,6,,6,6,,0,
5,5,AR,Arkansas,mth,all,-0.5493891646,0.04829272097,-0.5415564389,0.04141457444,-0.6170717565,0.06717387185,0.05539095822,-0.6041416973,-0.6249986974,0.05081851616,-0.6292093922,0.04149345117,-0.6329256383,0.07627422421,0.06179536962,-0.6542770871,-1.173668956,0.0966267969,-1.180244689,0.08840136122,-1.086120968,0.09733277527,-1.092041639,0.08915543355,-0.5407433181,0.1231035952,-0.5259676019,0.1078585573,-0.4531953299,0.1236585073,-0.4377645523,0.1084774587,0.08754798822,0.01170176327,0.08820304956,0.01163832412,36418.83333,36754.33333,37193.5,37340.66667,36217.5,35996.33333,218513,220526,223161,224044,217305,215978,6,6,6,6,6,6,0,0
5,5,AR,Arkansas,rla,all,-0.2076482436,0.05558792475,-0.2090636916,0.04449535137,-0.2517660702,0.07968328316,0.05784885048,-0.2552779835,-0.3076484231,0.0570221842,-0.3075079438,0.04227907328,-0.3635307761,0.08158855525,0.06167325715,-0.359737904,-0.6621535895,0.1172809486,-0.6653838126,0.09974363689,,,,,-0.2986228134,0.1428688674,-0.3056459085,0.1172705579,,,,,,,,,36311.5,36640.33333,37171.33333,37320,,,217869,219842,223028,223920,,,6,6,6,6,,,0,
6,6,CA,California,mth,all,-0.6426822383,0.06391448093,-0.6286210028,0.05135685934,-0.5975606034,0.08344253108,0.06491850158,-0.5931177321,-0.5646333462,0.05520003773,-0.5602645028,0.04429980241,-0.5317060889,0.07228776291,0.06029492622,-0.5274112736,-0.9753500539,0.109394805,-1.00182096,0.09784960792,-0.8838014627,0.1094659499,-0.9101269596,0.09792786714,-0.443643965,0.1311211044,-0.4744096864,0.1149348681,-0.3520953737,0.1311804668,-0.382715686,0.1150015013,0.09154859127,0.003945990333,0.09169400044,0.003943570548,468042.3333,467425.1667,462587,460326,424664.3333,421752.3333,2808254,2804551,2775522,2761956,2547986,2530514,6,6,6,6,6,6,0,0
6,6,CA,California,rla,all,-0.3435302734,0.07052529122,-0.3315158426,0.05403198833,-0.2070599724,0.08934432512,0.06410842859,-0.2557722642,-0.253530076,0.05921496304,-0.2548641645,0.04413380046,-0.3000001795,0.07773827217,0.06067354248,-0.2539560648,-0.4144598916,0.11670439,-0.4817127113,0.0965382559,-0.4875649949,0.1167743086,-0.5547135965,0.0966462437,-0.114459712,0.1402253672,-0.2277566465,0.1140215489,-0.1875648154,0.1402835632,-0.3007575317,0.114112993,-0.07310510336,0.00404036011,-0.07300088518,0.004039201088,466188.5,465235.1667,461163.8333,458681.3333,423538.6667,419566.8333,2797131,2791411,2766983,2752088,2541232,2517401,6,6,6,6,6,6,0,0
