NCESDistrict,Trimmed District,District Name,Zip,Latitude,Longitude,City,State,ZipTrimmed
0691051,691051,Alameda County Office of Education,94544-1136,37.658212,-122.09713,Hayward,California,94544
0600002,600002,California School for the Blind (State Special Schl),94536-4365,37.562576,-121.96563,Fremont,California,94536
0600003,600003,California School for the Deaf-Fremont (State Special Schl),94538-2308,37.558956,-121.96551,Fremont,California,94538
0601397,601397,Mission Valley ROC/P,94244,No Data,No Data,Sacramento,California,94244
0601770,601770,Alameda Unified,94501-1037,37.782147,-122.27009,Alameda,California,94501
0601860,601860,Albany City Unified,94706-1725,37.890302,-122.29575,Albany,California,94706
No Data,o Data,Amador Valley Joint Union High,94566,No Data,No Data,Pleasanton,California,94566
0604740,604740,Berkeley Unified,94702-1793,37.869454,-122.28747,Berkeley,California,94702
0607800,607800,Castro Valley Unified,94546-0146,37.707693,-122.07038,Castro Valley,California,94546
0612630,612630,Emery Unified,94608-3035,37.836319,-122.28185,Emeryville,California,94608
0614400,614400,Fremont Unified,94538-6337,37.507800,-121.95443,Fremont,California,94538
0616740,616740,Hayward Unified,94544-1301,37.656838,-122.09337,Hayward,California,94544
0622110,622110,Livermore Valley Joint Unified,94551-1899,37.689031,-121.79177,Livermore,California,94551
0626130,626130,Mountain House Elementary,94514-1920,37.787242,-121.57729,Byron,California,94514
0627060,627060,Newark Unified,94560-0385,37.542383,-122.03158,Newark,California,94560
0626910,626910,New Haven Unified,94587-4402,37.588425,-122.02531,Union City,California,94587
0628050,628050,Oakland Unified,94607-4099,37.807928,-122.28988,Oakland,California,94607
0630330,630330,Piedmont City Unified,94611-4047,37.823082,-122.23371,Piedmont,California,94611
0634680,634680,San Leandro Unified,94577-3767,37.728671,-122.15932,San Leandro,California,94577
0634710,634710,San Lorenzo Unified,94580-1641,37.689222,-122.12875,San Lorenzo,California,94580
0600084,600084,Tri-Valley ROP,94550-5543,37.669154,-121.77428,Livermore,California,94550
0600085,600085,Eden Area ROP,94545,37.634543,-122.09874,Hayward,California,94545
0600086,600086,Mission Valley ROC/P,94244,No Data,No Data,Sacramento,California,94244
0600088,600088,East Bay Regional Occupational Agency (ROP),94606,37.796352,-122.25857,Oakland,California,94606
0600019,600019,Dublin Unified,94568-1500,37.716285,-121.93066,Dublin,California,94568
0600020,600020,Pleasanton Unified,94588-4083,37.685125,-121.89264,Pleasanton,California,94588
0600021,600021,Sunol Glen Unified,94586-9519,37.592963,-121.88482,Sunol,California,94586
0600070,600070,State Board of Education Charter,95814,No Data,No Data,Sacramento,California,95814
0600151,600151,SBE - Livermore Valley Charter,94551,37.691041,-121.77055,Livermore,California,94551
0600152,600152,SBE - Leadership Public Schools - Hayward,94545,No Data,No Data,Hayward,California,94545
0601344,601344,SBE - Livermore Valley Charter Preparatory High,94551-1756,37.691041,-121.77055,Livermore,California,94551
0691058,691058,Alpine County Office of Education,96120-9522,38.766195,-119.80692,Markleeville,California,96120
0602070,602070,Alpine County Unified,96120-9522,38.766195,-119.80692,Markleeville,California,96120
0691001,691001,Amador County Office of Education,95642-2020,38.352665,-120.77703,Jackson,California,95642
0600050,600050,CEA Amador Co,95640,No Data,No Data,Ione,California,95640
0602450,602450,Amador County Unified,95642-2020,38.352665,-120.77703,Jackson,California,95642
0600089,600089,Amador County ROP,95642,38.353148,-120.77869,Jackson,California,95642
0691002,691002,Butte County Office of Education,95965-4854,39.512653,-121.55663,Oroville,California,95965
0603780,603780,Bangor Union Elementary,95914-0340,39.390904,-121.40740,Bangor,California,95914
0605040,605040,Biggs Unified,95917-9732,39.414988,-121.70380,Biggs,California,95917
0608370,608370,Chico Unified,95928-5903,39.733630,-121.82581,Chico,California,95928
0611730,611730,Durham Unified,95938-9426,39.646044,-121.80292,Durham,California,95938
0613710,613710,Feather Falls Union Elementary,95966-8887,39.593033,-121.25210,Oroville,California,95966
0615480,615480,Golden Feather Union Elementary,95965-8033,39.650509,-121.56284,Oroville,California,95965
0623700,623700,Manzanita Elementary,95948-9736,39.334408,-121.65863,Gridley,California,95948
0629100,629100,Oroville City Elementary,95966-5113,39.513224,-121.54591,Oroville,California,95966
