sedafips,year,enrl38,totenrl,perfrl,perblk,perhsp,perasn,pernam,peroth,perwht
1,2016,333794.06,743100.19,0.571,0.332,0.068,0.015,0.009,0.020,0.556
1,2017,337799.00,744817.31,0.578,0.330,0.074,0.015,0.009,0.022,0.549
1,2018,340453.00,742606.88,0.569,0.328,0.079,0.016,0.009,0.022,0.545
1,2019,339357.00,739726.00,0.560,0.325,0.084,0.016,0.009,0.024,0.542
1,2022,336749.00,747115.00,0.507,0.320,0.100,0.016,0.009,0.029,0.526
2,2016,58912.00,132665.30,0.468,0.032,0.067,0.086,0.230,0.103,0.482
2,2017,59690.00,132936.59,0.481,0.031,0.067,0.088,0.229,0.107,0.478
2,2018,60262.00,133059.50,0.508,0.029,0.067,0.088,0.229,0.111,0.476
2,2019,60026.00,130967.20,0.517,0.027,0.067,0.089,0.228,0.115,0.475
2,2022,59508.00,129941.00,0.497,0.024,0.074,0.082,0.217,0.131,0.472
4,2016,515337.31,1111900.25,0.497,0.053,0.449,0.031,0.047,0.027,0.394
4,2017,525308.00,1121836.75,0.543,0.053,0.452,0.032,0.045,0.029,0.388
4,2018,520446.00,1108709.25,0.529,0.054,0.455,0.033,0.045,0.031,0.382
4,2019,526692.00,1140920.75,0.520,0.054,0.457,0.033,0.045,0.033,0.377
4,2022,510353.00,1131888.00,0.347,0.056,0.471,0.034,0.042,0.039,0.358
5,2016,219300.00,492132.00,0.633,0.208,0.123,0.022,0.006,0.022,0.618
5,2017,222035.00,493447.00,0.636,0.206,0.127,0.024,0.006,0.024,0.613
5,2018,224808.00,496085.00,0.626,0.204,0.131,0.024,0.006,0.026,0.608
5,2019,225022.00,495340.81,0.613,0.202,0.132,0.025,0.006,0.028,0.607
5,2022,220430.00,489565.00,0.597,0.196,0.139,0.027,0.006,0.038,0.594
6,2016,2831745.74,6210853.50,0.589,0.058,0.540,0.119,0.006,0.037,0.241
6,2017,2840360.00,6215773.00,0.583,0.056,0.543,0.119,0.005,0.041,0.236
