sedafips,fips,stateabb,sedafipsname,subject,subgroup,gys_mn_2016_ol,gys_mn_2016_ol_se_adj,gys_mn_2016_eb,gys_mn_2016_eb_se_adj,gys_mn_2017_ol,gys_mn_2017_ol_se_adj,gys_mn_2017_eb_se_adj,gys_mn_2017_eb,gys_mn_2018_ol,gys_mn_2018_ol_se_adj,gys_mn_2018_eb,gys_mn_2018_eb_se_adj,gys_mn_2019_ol,gys_mn_2019_ol_se_adj,gys_mn_2019_eb_se_adj,gys_mn_2019_eb,gys_mn_2022_ol,gys_mn_2022_ol_se_adj,gys_mn_2022_eb,gys_mn_2022_eb_se_adj,gys_mn_2023_ol,gys_mn_2023_ol_se_adj,gys_mn_2023_eb,gys_mn_2023_eb_se_adj,gys_mn_1922_ol,gys_mn_1922_ol_se_adj,gys_mn_1922_eb,gys_mn_1922_eb_se_adj,gys_mn_1923_ol,gys_mn_1923_ol_se_adj,gys_mn_1923_eb,gys_mn_1923_eb_se_adj,gys_mn_2223_ol,gys_mn_2223_ol_se_adj,gys_mn_2223_eb,gys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
1,1,AL,Alabama,mth,all,-.9682924224109177,.0521261589213973,-.9796306564624944,.0436835100332317,-.9060970399437878,.0761195441955633,.0603135845642117,-.9338270480158775,-.9853656117509049,.0553353234121556,-.9651946720292157,.0440455815486025,-1.064634183558022,.080335590244742,.0642053310312629,-.996562296042554,-1.154726711433387,.0894065972028086,-1.213719288400569,.0828342081003236,-.8866925018611012,.089875529939899,-.9463107212634876,.0833330241494163,-.090092527875365,.1201971159527397,-.2171569923580146,.1048037717090457,.1779416816969208,.1205463311011528,.0502515747790664,.1051984669409267,.2680342095722859,.0091690380407335,.2674085671370812,.0091385272489735,55453.66666666666,55793.83333333334,56407.33333333334,56542.16666666666,55714,56124,332722,334763,338444,339253,334284,336744,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,blk,-2.37869740362525,.0530945286285029,-2.385259928472041,.0453135325476775,-2.397255328069365,.0768136781274436,.0420568816423153,-2.433876088807247,-2.526940212352288,.0563055613769536,-2.483343480750857,.0386194298618306,-2.597928221889577,.0810265801010149,.0558419783846893,-2.532288522058521,-2.826057092334648,.0900984884414836,-2.875907317431569,.0840975771294535,-2.483369399809478,.0900586978808103,-2.535104741274482,.0840887391861432,-.2281288704450715,.1211736122359417,-.3436187953730476,.1009491408034782,.1145588220800988,.1221649366183402,-.0028162192159611,.1009417783072565,.3426876925251703,.0155314982103054,.3408025761570868,.0154240164980472,17976.66666666667,18001.5,18350.33333333333,18383.16666666667,18074.33333333333,18254,107860,108009,110102,110299,108446,109524,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,hsp,-1.731801670173378,.0564000808123989,-1.739019099328759,.0438231963365073,-1.730951389429174,.0790631129899333,.0408006566618816,-1.760531260247758,-1.787396303376179,.0591186156255061,-1.782124848743764,.0373747731856248,-1.910842003121926,.082857335489629,.0581191243187964,-1.803841642704543,-1.874189592623679,.0914418786606537,-1.928996045331224,.0810777911525095,-1.690610648954605,.0914303614338596,-1.748955553774048,.0840629599882901,.0366524104982475,.1233975494790341,-.1251544026266815,.0997569086818234,.2202313541673218,.1263368676815127,.0548860889304943,.1021979151136488,.1835789436690742,.0270933371540938,.1800404915571757,.0251309947459575,3962.833333333333,4427.166666666667,4771.333333333333,5128.666666666667,5766.166666666667,5817.166666666667,23777,26563,28628,30772,34597,34903,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,wht,-.1251784634780702,.0527151976149113,-.1506019471108475,.040704773802677,-.0137970387502184,.0765583963812931,.0432396003285422,-.1168649768677881,-.0681223558392992,.055939247665705,-.0832083334867271,.033855282342311,-.1474006023348524,.0807786714586908,.0516753537603325,-.0495749064220137,-.2208793186409279,.0897920105376033,-.262756649983773,.0800628038531183,.0182888636388903,.089799943821961,-.0243351313565752,.0802512072408872,-.0734787163060755,.1207799607510127,-.2131817435617593,.0952911052883658,.1656894659737427,.1213563131405123,.0252397750654385,.0954494549480265,.2391681822798182,.0118133746254788,.238421518627198,.011695947248529,31320,30674.16666666667,30466.66666666667,30160.16666666667,28847.16666666667,29011.5,187920,184045,182800,180961,173083,174069,6,6,6,6,6,6,1,1
1,1,AL,Alabama,rla,all,-.2623534258674169,.0611408270008192,-.2716533886542578,.0484964018326592,-.3305890251608457,.0833148863155551,.0609159738504832,-.3572445910078264,-.5270595774931071,.0606704183086052,-.504845785920665,.0442505254291327,-.7235301298253676,.0882169391284389,.0642003125604893,-.6524469808335045,-.6781049302818216,.1006552386090155,-.740165513488023,.0891280582474874,,,,,.045425199543546,.133842091318944,-.0877185326545185,.1098430284534801,,,,,,,,,55306.33333333334,55680.16666666666,56339,56404.83333333334,55713.83333333334,,331838,334081,338034,338429,334283,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,blk,-1.647761331224109,.0623569224752089,-1.669276001484199,.0504529043864465,-1.777709812838686,.0842989123941301,.0428143254970168,-1.83919673038893,-2.108059926672519,.0618732625690125,-2.009131342929666,.0419833053750674,-2.28901722961492,.0890660721202409,.0607066961006257,-2.17905286117795,-2.190377507592601,.101303971636408,-2.25351326434373,.0912877856757721,,,,,.0986397220223187,.1348898064059628,-.0744604031657796,.1096301179650894,,,,,,,,,17977,18018,18353,18394.5,18074.83333333333,,107862,108108,110118,110367,108449,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,hsp,-1.403996021496512,.0670396716246199,-1.891179408521801,.0546980289470244,-1.591902595262906,.0876818199067772,.0445604372090135,-1.979235020903761,-2.178478690189227,.0658852357115561,-2.067578104014607,.0470690669183022,-2.33152713707923,.0917390145095622,.0578539514631653,-2.155538922598364,-1.774788504681777,.1028455320970329,-1.875236598313083,.0930009527706197,,,,,.5567386323974528,.1378160014494234,.2803023242852811,.109527425406358,,,,,,,,,3863.666666666667,4329.666666666667,4717.833333333333,5003.666666666667,5766.166666666667,,23182,25978,28307,30022,34597,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,wht,.6326723871241713,.061761801243301,.6270641585691106,.0456686955417566,.6230412156299234,.0838269423708595,.0422115209926108,.5708815209246163,.5954998435789642,.0613758747779646,.5146993594095521,.0380866100443244,.4123154647662712,.0887289931091264,.0528551926623718,.4583555335066256,.2117358623184176,.1011224009594016,.1932829415660118,.0854870476503889,,,,,-.2005796024478537,.1345309413999373,-.2650725919406138,.1005072470389888,,,,,,,,,31306.66666666667,30670,30468.66666666667,30160,28847.5,,187840,184020,182812,180960,173085,,6,6,6,6,6,,1,
2,2,AK,Alaska,mth,all,-.4475604731862139,.0490881311401496,-.4431138107323394,.0419982755975014,-.6817064983088796,.0631477736554067,.0528209048724673,-.6328643710191368,-.6664625958698549,.0434862563228687,-.6726411718789809,.0370281266861479,-.6512186934308302,.0598044867738072,.0519064607924238,-.7124179727388249,-1.208264641787863,.0912999912580205,-1.219501598703296,.0840910604548464,,,,,-.5570459483570325,.1091433233963173,-.5070836259644711,.0988209852228567,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2,2,AK,Alaska,rla,all,-.6223542157341457,.0560134698486412,-.6221315656452635,.0451308189152036,-.8341188318589161,.0756127480870152,.0562395481673334,-.814291507645617,-.9958832684685204,.0537629051636254,-.9824820269759114,.0406305350993629,-1.157647705078125,.0764494095023728,.0586555602801339,-1.150672546306207,-1.168964442237151,.1024770549211741,-1.229579727996477,.0899984346660657,,,,,-.0113167371590261,.1278517070616533,-.07890718169027,.1074252902910601,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
